aTime,bx-Axis,cy-Axis,dz-Axis
22272.0,0.06691,0.04323,0.94749
22376.0,0.06686,0.04292,0.94745
22480.0,0.06689,0.04322,0.94756
22584.0,0.067,0.04304,0.94749
22688.0,0.06689,0.04301,0.94751
22792.0,0.06674,0.04317,0.94763
22896.0,0.06678,0.04301,0.94757
23000.0,0.06696,0.043,0.94757
23104.0,0.06683,0.04262,0.94755
23208.0,0.06692,0.04296,0.94749
23312.0,0.06688,0.04301,0.94743
23416.0,0.06666,0.04315,0.94753
23520.0,0.06681,0.04296,0.94761
23624.0,0.06703,0.04299,0.94763
23728.0,0.0669,0.04317,0.9475
23832.0,0.06681,0.04286,0.94736
23936.0,0.0668,0.04286,0.9475
24040.0,0.06719,0.04297,0.9474
24144.0,0.06698,0.04296,0.94739
24248.0,0.06671,0.04314,0.94761
24352.0,0.06683,0.04281,0.94764
24456.0,0.06706,0.04281,0.94743
24560.0,0.06696,0.04299,0.94741
24664.0,0.06706,0.04277,0.94736
24768.0,0.06659,0.04306,0.94762
24872.0,0.06692,0.04279,0.94746
24976.0,0.06709,0.04293,0.94752
25080.0,0.06719,0.04281,0.94739
25184.0,0.06719,0.0429,0.94736
25288.0,0.06706,0.04291,0.94735
25392.0,0.06673,0.04305,0.94743
25496.0,0.06707,0.04303,0.94742
25600.0,0.06675,0.0431,0.94768
25704.0,0.06694,0.04301,0.94739
25808.0,0.0669,0.04303,0.9476
25912.0,0.06684,0.04293,0.94748
26016.0,0.06671,0.04329,0.94747
26120.0,0.0669,0.0431,0.94736
26224.0,0.06695,0.04274,0.94759
26328.0,0.06724,0.04287,0.9473
26432.0,0.06671,0.04304,0.94754
26536.0,0.06691,0.04308,0.94749
26640.0,0.06676,0.04297,0.94745
26744.0,0.06702,0.04298,0.9475
26848.0,0.0669,0.04284,0.94741
26952.0,0.06696,0.04278,0.94745
27056.0,0.06701,0.04275,0.94738
27160.0,0.0668,0.04304,0.94761
27264.0,0.06697,0.04302,0.94741
27368.0,0.06698,0.04316,0.94747
27472.0,0.06694,0.04299,0.9474
27576.0,0.06688,0.04303,0.94759
27680.0,0.06697,0.04284,0.94736
27784.0,0.06677,0.04279,0.94735
27888.0,0.06678,0.04319,0.94736
27992.0,0.06703,0.04295,0.94752
28096.0,0.06658,0.04324,0.94763
28200.0,0.06676,0.04301,0.94763
28304.0,0.06691,0.04283,0.94756
28408.0,0.06688,0.04299,0.94763
28519.0,0.06673,0.04306,0.94753
28623.0,0.06679,0.04345,0.94769
28727.0,0.06703,0.043,0.9474
28831.0,0.06696,0.04294,0.94756
28935.0,0.0668,0.04298,0.94742
