aTime,bx-Axis,cy-Axis,dz-Axis
27167.0,-0.04171,0.15414,0.9402
27271.0,-0.0418,0.15415,0.9402
27375.0,-0.04164,0.15388,0.94032
27479.0,-0.04156,0.15404,0.94035
27583.0,-0.04166,0.15393,0.94026
27687.0,-0.04176,0.15393,0.94027
27791.0,-0.04161,0.15401,0.94007
27895.0,-0.04178,0.15386,0.94023
27999.0,-0.04171,0.15398,0.94027
28103.0,-0.04148,0.15406,0.94018
28207.0,-0.04188,0.1538,0.94019
28311.0,-0.04169,0.15408,0.9403
28415.0,-0.04164,0.15407,0.94028
28519.0,-0.04162,0.15399,0.94022
28623.0,-0.04178,0.1539,0.94027
28727.0,-0.0419,0.15396,0.94035
28831.0,-0.04151,0.15394,0.94021
28935.0,-0.04162,0.15399,0.94017
29039.0,-0.04184,0.15409,0.94022
29143.0,-0.04178,0.15387,0.94034
29247.0,-0.04176,0.15397,0.94031
29351.0,-0.0418,0.15411,0.94031
29455.0,-0.04146,0.1539,0.94016
29559.0,-0.04172,0.15405,0.94033
29663.0,-0.04158,0.15401,0.94022
29767.0,-0.04152,0.15385,0.94012
29871.0,-0.04154,0.15395,0.94021
